Sentence #,Word,POS,Tag
Sentence: 1,Windshield,NNP,B-component
,or,CC,O
,Foot,NNP,B-component
,Air,NNP,I-component
,Outlet,NNP,I-component
,Does,VBZ,O
,Not,RB,O
,Operate,NNP,O
,.,.,O
Sentence: 2,The,DT,O
,captain,NN,O
,'s,POS,O
,or,CC,O
,the,DT,O
,first,JJ,O
,officer,NN,O
,'s,POS,O
,windshield,NN,B-component
,or,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,has,VBZ,O
,no,DT,O
,air,NN,O
,flow,NN,O
,or,CC,O
,less,JJR,O
,air,NN,O
,flow,NN,O
,than,IN,O
,expected,VBN,O
,.,.,O
Sentence: 3,Windshield,NNP,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 4,The,DT,O
,cables,NNS,B-component
,for,IN,O
,the,DT,O
,windshield,NN,B-component
,and,CC,O
,foot,NN,B-component
,air,NN,I-component
,outlet,NN,I-component
,valve,NN,B-null
,.,.,O
Sentence: 5,The,DT,O
,air,NN,O
,distribution,NN,O
,ducts,NNS,B-component
,for,IN,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,.,.,O
Sentence: 6,Defective,NNP,O
,muffler,NN,B-component
,/,NN,O
,duct,NN,B-component
,assembly,NN,I-component
,.,.,O
Sentence: 7,Supply,NNP,O
,conditioned,VBN,O
,air,NN,O
,to,TO,O
,the,DT,O
,flight,NN,B-component
,compartment,NN,I-component
,with,IN,O
,the,DT,O
,left,NN,O
,air,NN,B-component
,conditioning,NN,I-component
,pack,NN,I-component
,.,.,O
Sentence: 8,Supply,NNP,O
,Conditioned,NNP,O
,Air,NNP,O
,with,IN,O
,a,DT,O
,Cooling,NNP,O
,Pack,NNP,O
,.,.,O
Sentence: 9,Make,VB,O
,sure,JJ,O
,the,DT,O
,left,NN,O
,air,NN,B-component
,conditioning,NN,I-component
,pack,NN,I-component
,is,VBZ,O
,on,IN,O
,.,.,O
Sentence: 10,Pull,VB,O
,the,DT,O
,applicable,JJ,O
,knob,NN,O
,on,IN,O
,the,DT,O
,P,NN,B-component
,1,CD,I-component
,panel,NN,I-component
,(,(,O
,captain,NN,O
,'s,POS,O
,instrument,NN,B-component
,panel,NN,I-component
,),),O
,or,CC,O
,the,DT,O
,P,NN,B-component
,3,CD,I-component
,panel,NN,I-component
